,auth_id,name,last_name,citations,cited_by,publications,orcid
5705,57073285500,P.,Mejia,4.0,4,1.0,
5706,56703359200,V.,Moreno-Padilla,0.0,0,1.0,
5707,57191723005,Antonio Cobo Sánchez,De Rojas,9.0,9,1.0,
5708,55882117900,Eduardo,Muñoz,2.0,2,2.0,
5709,57201796537,J. G.,Gutiérrez-Ch,2.0,2,1.0,
5710,57199327395,Antonio Jiménez Blanco Carrillo,De Albornoz,0.0,0,1.0,
5711,57133103300,Raquel,Martínez-Caro,3.0,3,1.0,
5712,57194090067,Ignacio,Polo,1.0,1,1.0,
5713,57202972247,Kim,Haugbølle,1.0,1,1.0,
5714,56534331100,C.,Soler-García,0.0,0,1.0,
5715,56721355200,A.,Montagut-Gastaminza,0.0,0,1.0,
5716,57200821808,Laura,Navarrete-Martin,0.0,0,1.0,
5717,57195542430,M.,Garcia De La Banda,5.0,5,1.0,
5718,57200272535,Andrea M.,Plaza,0.0,0,1.0,
5719,6504154591,M. A.,San Feliu,0.0,0,1.0,
5720,55843919900,Xavier,Negrillo,9.0,8,2.0,
5721,57197754164,Li,Yiqun,12.0,12,1.0,
5722,57194765976,Javier Perez,De Frutos,7.0,7,1.0,
5723,57199053742,Tomás,Gil,0.0,0,1.0,
5724,15826910500,Ana,Moreno,3.0,3,2.0,0000-0001-8397-6794
5725,56732599000,Juan,Velázquez,1.0,1,1.0,
5726,57200518306,R.,Pérez-Fernández,3.0,3,1.0,
5727,57202730018,M.,Álvarez Fernández,1.0,1,1.0,
5728,16410910800,María Beatriz,Colomo,1.0,1,2.0,
5729,57204810702,Esperanza,Luque,3.0,3,1.0,
5730,57205926472,M.,Julia,8.0,8,1.0,
5731,56646148800,M. Dolores,García Alonso,0.0,0,1.0,
5732,57201693455,Javier Ruiz,Sánchez,0.0,0,1.0,
5733,57198381352,Esteban,Asensio,3.0,3,1.0,
5734,57204965934,César López,Leiva,0.0,0,1.0,
5735,57194459366,Luis Escolar,Haro,1.0,1,1.0,
5736,7102323406,E.,Gutierrez,0.0,0,1.0,
5737,8389212900,C. Fonseca,Valero,0.0,0,1.0,
5738,57039048500,G.,Areas,1.0,1,1.0,
5739,57204965473,Antonio,Roig,2.0,2,1.0,
5740,56676558900,J. Francisco,Millanes,3.0,3,1.0,
5741,57206855339,Jgnacio Hornillos,Cárdenas,0.0,0,1.0,
5742,57206524932,Consuelo Varela,Ortega,9.0,9,1.0,
5743,7202231492,G.,Fernandez,0.0,0,1.0,
5744,55807284300,Elena,Roche,56.0,50,2.0,
5745,57200415479,Juan,Morago,1.0,1,1.0,
5746,56891263100,Fco Javier,Sáenz,1.0,1,1.0,
5747,7004910937,V.,Sanz,12.0,12,1.0,
5748,7004955266,C.,Burgos,0.0,0,1.0,
5749,57208413523,Rosa María Pinero,Fernández,1.0,1,1.0,
5750,56768103000,Juan Manuel,Pastort,7.0,7,1.0,
5751,57201756007,Juan Ignacio Perez,Diaz,0.0,0,1.0,
5752,57196874380,Daniel,Löpez,2.0,2,1.0,
